Sum of VALUE,Column Labels,,,,
Row Labels,All nationalities,Other nationalities with protected status,Ukrainian,(blank),Grand Total
2022 April 03,18304,560,17744,,36608
2022 April 10,22094,615,21479,,44188
2022 April 17,24109,646,23463,,48218
2022 April 24,26383,691,25692,,52766
2022 August 07,47977,926,47051,,95954
2022 August 14,49036,940,48096,,98072
2022 August 21,49817,948,48869,,99634
2022 August 28,50647,959,49688,,101294
2022 February 27,358,77,281,,716
2022 July 03,41852,889,40963,,83704
2022 July 10,43289,897,42392,,86578
2022 July 17,44688,905,43783,,89376
2022 July 24,45844,912,44932,,91688
2022 July 31,47140,919,46221,,94280
2022 June 05,35715,819,34896,,71430
2022 June 12,37385,834,36551,,74770
2022 June 19,38730,851,37879,,77460
2022 June 26,40317,869,39448,,80634
2022 March 06,382,77,305,,764
2022 March 13,3482,118,3364,,6964
2022 March 20,8033,264,7769,,16066
2022 March 27,12257,443,11814,,24514
2022 May 01,27870,709,27161,,55740
2022 May 08,29886,744,29142,,59772
2022 May 15,31611,760,30851,,63222
2022 May 22,33211,784,32427,,66422
2022 May 29,34416,801,33615,,68832
2022 November 06,62425,1039,61386,,124850
2022 October 02,55939,994,54945,,111878
2022 October 09,57223,998,56225,,114446
2022 October 16,58448,1011,57437,,116896
2022 October 23,60049,1026,59023,,120098
2022 October 30,61296,1034,60262,,122592
2022 September 04,51596,966,50630,,103192
2022 September 11,52637,976,51661,,105274
2022 September 18,53730,985,52745,,107460
2022 September 25,54795,991,53804,,109590
(blank),,,,,
Grand Total,1412971,28977,1383994,,2825942
